"Name","ImageUrl","Phone","Address","Area"
"AC MARRIOTT","https://downtowndallas.com/wp-content/uploads/2018/09/AC-Marriot.jpg","214-290-0111","1712 Commerce","1712 Commerce"
"ADOLPHUS HOTEL","https://downtowndallas.com/wp-content/uploads/2018/09/Adolphus.jpg","214-742-8200","1321 Commerce St","1321 Commerce St"
"ALOFT","https://downtowndallas.com/wp-content/uploads/2018/09/Aloft.jpg","214-761-0000","1033 Young Street","1033 Young Street"
"BELMONT HOTEL","https://downtowndallas.com/wp-content/uploads/2018/09/Belmont.jpg","214-393-2300","901 Fort Worth Av","901 Fort Worth Av"
"CAMBRIA HOTEL","https://downtowndallas.com/wp-content/uploads/2018/09/Cambria.jpg","214-220-2900","1907 Elm St","1907 Elm St"
"CANOPY BY HILTON","https://downtowndallas.com/wp-content/uploads/2018/09/Canopy.jpg","214-522-2929","2950 Cityplace West","2950 Cityplace West"
"COURTYARD BY MARRIOTT","https://downtowndallas.com/wp-content/uploads/2018/09/Courtyard-by-marriot.jpg","214-238-6589","310 S Houston St.","310 S Houston St."
"CROWNE PLAZA DALLAS","https://downtowndallas.com/wp-content/uploads/2018/09/crowne-plaza-dallas-e1546627876794.jpeg","877-270-1393","1015 Elm Street","1015 Elm Street"
"DALLAS MARRIOTT DOWNTOWN","https://downtowndallas.com/wp-content/uploads/2018/09/Lobby_JPG.jpg","214-979-9000","650 North Pearl St.","650 North Pearl St."
"ELEMENT BY WESTIN","https://downtowndallas.com/wp-content/uploads/2018/09/Element.jpg","469-399-1049","4005 Gaston","4005 Gaston"
"FAIRFIELD INN","https://downtowndallas.com/wp-content/uploads/2018/09/Fairfield-inn.jpg","","555 S Ervay","555 S Ervay"
"FAIRMONT HOTEL","https://downtowndallas.com/wp-content/uploads/2018/09/Fairmont.jpg","214-720-2020","1717 North Akard Str","1717 North Akard Str"
"HALL ARTS HOTEL","https://downtowndallas.com/wp-content/uploads/2018/09/Hall-arts.png","214-269-9535","2323 Ross Ave","2323 Ross Ave"
"HAMPTON INN & SUITES DALLAS DOWNTOWN","https://downtowndallas.com/wp-content/uploads/2018/09/hampton-inn-suites-dallas.jpg","214-290-9090","1700 Commerce Street","1700 Commerce Street"
"HILTON GARDEN INN DOWNTOWN DALLAS","https://downtowndallas.com/wp-content/uploads/2018/09/HIlton-garden-inn.jpg","214-299-8982","1600 Pacific Ave","1600 Pacific Ave"
"HOME 2 SUITES BY HILTON","https://downtowndallas.com/wp-content/uploads/2018/09/home2-suites-by-hilton.jpg","214-765-2690","3301 Gaston","3301 Gaston"
"HOMEWOOD SUITES","https://downtowndallas.com/wp-content/uploads/2018/09/Homewood.jpg","214-748-4000","1025 Elm Street","1025 Elm Street"
"HOTEL INDIGO","https://downtowndallas.com/wp-content/uploads/2018/09/Hotel-indigo.jpeg","214-741-7700","1933 Main Street","1933 Main Street"
"HOTEL SAINT GERMAIN","https://downtowndallas.com/wp-content/uploads/2018/09/hotel-st-germain.jpg","214-871-2516","2516 Maple Avenue","2516 Maple Avenue"
"HOTEL ZAZA","https://downtowndallas.com/wp-content/uploads/2018/09/Hotel-zaza.jpg","214-468-8399","2332 Leonard Street","2332 Leonard Street"
"HYATT REGENCY DALLAS","https://downtowndallas.com/wp-content/uploads/2018/09/Hyatt_Regency_Dallas-e1546627838881.jpg","214-651-1234","300 Reunion Blvd","300 Reunion Blvd"
"LA QUINTA (HOTEL LAWRENCE)","https://downtowndallas.com/wp-content/uploads/2018/09/la-quinta.jpg","214-761-9090","302 South Houston Street","302 South Houston Street"
"LORENZO HOTEL","https://downtowndallas.com/wp-content/uploads/2018/09/lorenzo-hotel.jpg","214-273-3000","1011 S Akard","1011 S Akard"
"MAGNOLIA HOTEL","https://downtowndallas.com/wp-content/uploads/2018/09/Magnolia.jpg","214-915-6500","1401 Commerce Street","1401 Commerce Street"
"MARRIOTT RESIDENCE INN","https://downtowndallas.com/wp-content/uploads/2018/09/Marriott-Residence.jpg","214-290-0122","1712 Commerce","1712 Commerce"
"MARRIOTT TOWNE PLACE","https://downtowndallas.com/wp-content/uploads/2018/09/Marriott-Towneplace.jpg","214-749-5155","555 Evergreen Street","555 Evergreen Street"
"NYLO DALLAS SOUTH SIDE","https://downtowndallas.com/wp-content/uploads/2018/09/Nylo.jpg","214-421-1080","1325 South Lamar","1325 South Lamar"
"OMNI DALLAS CONVENTION CENTER HOTEL","https://downtowndallas.com/wp-content/uploads/2018/09/Omni-e1546627812676.jpg","214-744-6664","555 South Lamar Stre","555 South Lamar Stre"
"THE PITTMAN HOTEL","https://downtowndallas.com/wp-content/uploads/2018/11/JT-image-for-the-STD3-e1546905933386.jpg","469.498.2500","2551 Elm St.","2551 Elm St."
"RITZ CARLTON","https://downtowndallas.com/wp-content/uploads/2018/09/ritz-carlton.jpg","214-922-0200","2121 McKinney Avenue","2121 McKinney Avenue"
"ROSEWOOD CRESCENT HOTEL","https://downtowndallas.com/wp-content/uploads/2018/09/Rosewood.jpg","214-871-3200","400 Crescent Court","400 Crescent Court"
"SHERATON DALLAS","https://downtowndallas.com/wp-content/uploads/2018/09/sheraton.jpg","214-922-8000","400 Olive Street","400 Olive Street"
"SPRINGHILL SUITES","https://downtowndallas.com/wp-content/uploads/2018/09/Springhill.jpeg","214-999-0500","1907 N. Lamar Street","1907 N. Lamar Street"
"THE GUILD HOTEL DOWNTOWN","https://downtowndallas.com/wp-content/uploads/2018/09/Klyde_Warren_Park_SF8mfHpHwMcKDysv55XUPzt18q0ABlZBh_rgb_l-e1546906453840.jpg","(512) 623-7480","1601 Elm St.","1601 Elm St."
"THE GUILD HOTEL","https://downtowndallas.com/wp-content/uploads/2018/11/JT-image-for-the-STD3-e1546905933386.jpg","(512) 623-7480","3111 North Houston St.","3111 North Houston St."
